Health Category,Health Area,Score,Biomarker,Color,Evidence,Conventional
Heart Health,Cardiovascular disease,25,C-reactive protein,red,1,TRUE
Heart Health,Cardiovascular disease,25,Alpha-2-HS-glycoprotein,red,2,FALSE
Heart Health,Cardiovascular disease,25,Retinol-binding protein 4,red,2,FALSE
Heart Health,Cardiovascular disease,25,Apolipoprotein E,red,2,FALSE
Heart Health,Cardiovascular disease,25,Complement C3,red,4,FALSE
Heart Health,Cardiovascular disease,25,Homocysteine,red,1,FALSE
Heart Health,Cardiovascular disease,25,Choline,red,2,FALSE
Heart Health,Cardiovascular disease,25,Apolipoprotein A-I,red,4,FALSE
Heart Health,Cardiovascular disease,25,Serum amyloid P-component,red,2,FALSE
Heart Health,Atherosclerosis,20,C-reactive protein,red,4,TRUE
Heart Health,Atherosclerosis,20,Serum albumin,red,1,FALSE
Heart Health,Atherosclerosis,20,von Willebrand Factor,red,2,FALSE
Heart Health,Atherosclerosis,20,C4b-binding protein alpha chain,red,2,FALSE
Heart Health,Atherosclerosis,20,Homocysteine,red,1,FALSE
Heart Health,Atherosclerosis,20,Leucine-rich alpha-2-glycoprotein 1,red,1,FALSE
Heart Health,Atherosclerosis,20,Intercellular adhesion molecule 1,red,2,FALSE
Heart Health,Atherosclerosis,20,Angiogenin,red,3,FALSE
Heart Health,Atherosclerosis,20,Fibulin-1,red,4,FALSE
Heart Health,Atherosclerosis,20,Lipopolysaccharide-binding protein,red,1,FALSE
Heart Health,Atherosclerosis,20,Apolipoprotein C-II,yellow,3,FALSE
Joint Health,Rheumatoid arthritis,30,C-reactive protein,red,2,TRUE
Joint Health,Rheumatoid arthritis,30,Alpha-1-acid glycoprotein 1,red,1,FALSE
Joint Health,Rheumatoid arthritis,30,Leucine-rich alpha-2-glycoprotein 1,red,4,FALSE
Joint Health,Rheumatoid arthritis,30,Lysozyme C,red,1,FALSE
Joint Health,Rheumatoid arthritis,30,Serum albumin,red,4,FALSE
Joint Health,Rheumatoid arthritis,30,Intercellular adhesion molecule 1,red,4,FALSE
Joint Health,Rheumatoid arthritis,30,Haptoglobin,red,3,FALSE
Joint Health,Rheumatoid arthritis,30,Homocysteine,red,2,FALSE
Liver Health,Non-alcoholic fatty liver disease,45,C-reactive protein,red,4,TRUE
Liver Health,Non-alcoholic fatty liver disease,45,Retinol-binding protein 4,red,4,FALSE
Liver Health,Non-alcoholic fatty liver disease,45,Intercellular adhesion molecule 1,red,1,FALSE
Liver Health,Non-alcoholic fatty liver disease,45,Homocysteine,red,2,FALSE
Liver Health,Non-alcoholic fatty liver disease,45,Lactic acid,red,1,FALSE
Liver Health,Liver disease,40,Cystatin-C,red,2,TRUE
Liver Health,Liver disease,40,Kallistatin,yellow,1,FALSE
Liver Health,Liver disease,40,alpha-Ketoglutaric acid,red,1,FALSE
Liver Health,Liver disease,40,Complement component C7,red,4,FALSE
Liver Health,Liver disease,40,Intercellular adhesion molecule 1,red,4,FALSE
Liver Health,Liver disease,40,Beta-2-microglobulin,red,4,FALSE
Lung Health,Chronic obstructive pulmonary disease,50,C-reactive protein,red,3,TRUE
Lung Health,Chronic obstructive pulmonary disease,50,Inter-alpha-trypsin inhibitor heavy chain H4,red,4,FALSE
Lung Health,Chronic obstructive pulmonary disease,50,Phenylalanine,red,1,FALSE
Lung Health,Chronic obstructive pulmonary disease,50,beta-Hydroxybutyric acid,red,1,FALSE
Lung Health,Chronic obstructive pulmonary disease,50,Haptoglobin,red,3,FALSE
Metabolic Health,Type 2 diabetes,30,C-reactive protein,red,4,TRUE
Metabolic Health,Type 2 diabetes,30,Leucine,red,1,TRUE
Metabolic Health,Type 2 diabetes,30,Retinol-binding protein 4,red,3,FALSE
Metabolic Health,Type 2 diabetes,30,Sex hormone-binding globulin,yellow,4,FALSE
Metabolic Health,Type 2 diabetes,30,Intercellular adhesion molecule 1,red,1,FALSE
Metabolic Health,Type 2 diabetes,30,Gelsolin,red,4,FALSE
Metabolic Health,Type 2 diabetes,30,Complement C3,red,2,FALSE
Metabolic Health,Type 2 diabetes,30,Homocysteine,red,1,FALSE
Metabolic Health,Type 2 diabetes,30,Short Chain Acylcarnitines,yellow,3,FALSE
Metabolic Health,Type 2 diabetes,30,Fibulin-1,red,1,FALSE
Metabolic Health,Pre-diabetes,25,C-reactive protein,red,4,TRUE
Metabolic Health,Pre-diabetes,25,Leucine,red,3,TRUE
Metabolic Health,Pre-diabetes,25,Apolipoprotein C-II,yellow,4,FALSE
Metabolic Health,Pre-diabetes,25,Retinol-binding protein 4,red,4,FALSE
Metabolic Health,Pre-diabetes,25,Sex hormone-binding globulin,yellow,2,FALSE
Metabolic Health,Pre-diabetes,25,Long Chain Acylcarnitines,red,1,FALSE
Metabolic Health,Pre-diabetes,25,Phenylalanine,red,3,FALSE
Metabolic Health,Pre-diabetes,25,Complement C3,red,3,FALSE
Metabolic Health,Pre-diabetes,25,Serum amyloid P-component,red,2,FALSE
Metabolic Health,Pre-diabetes,25,Glutathione peroxidase 3,red,1,FALSE
Metabolic Health,Pre-diabetes,25,beta-Hydroxybutyric acid,red,1,FALSE
